"","expenditure_category","subcategory","category","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"264","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2022,124584,282.025,136752.392390746,FALSE
"265","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2022,84045,282.025,92253.8593918979,FALSE
"266","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2022,21798,282.025,23927.0584451733,FALSE
"267","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2022,25798,282.025,28317.7472138995,FALSE
"268","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2022,993,282.025,1089.98848683627,FALSE
"269","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2022,689,282.025,756.296140413084,FALSE
"270","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2022,826,282.025,906.677230741956,FALSE
"271","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2022,605,282.025,664.091676269834,FALSE
"272","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2022,592,282.025,649.821937771474,FALSE
"273","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2022,456491,282.025,501077.476681145,FALSE
"274","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2022,584337,282.025,641410.475762787,FALSE
"275","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2022,71958,282.025,78986.2956049996,FALSE
"276","Education","Department of Education","Department of Education",2022,31305761,282.025,34363463.3047815,FALSE
"277","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2022,1084559,282.025,1190490.25508022,FALSE
"278","City University","Hunter Campus Schools","Hunter Campus Schools",2022,24023,282.025,26369.3790727772,FALSE
"279","City University","Educational Aid","Educational Aid",2022,NA,282.025,NA,FALSE
"280","Social Services","Administration for Children's Services","Administration for Children's Services",2022,2635141,282.025,2892520.99817747,TRUE
"281","Social Services","Department of Social Services","Department of Social Services",2022,10892357,282.025,11956237.386214,TRUE
"282","Social Services","Department of Homeless Services","Department of Homeless Services",2022,2546086,282.025,2794767.80110274,TRUE
"283","Social Services","Department for the Aging","Department for the Aging",2022,500222,282.025,549079.779317437,TRUE
"284","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2022,1349501,282.025,1481309.72102119,FALSE
"285","Environmental Protection","Department of Sanitation","Department of Sanitation",2022,2023111,282.025,2220712.6863966,FALSE
"286","Transportation Services","Department of Transportation","Department of Transportation",2022,958145,282.025,1051729.12257779,FALSE
"287","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2022,1098440,282.025,1205727.0427799,FALSE
"288","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2022,2692,282.025,2954.93354135272,FALSE
"289","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2022,222897,282.025,244667.83862069,FALSE
"290","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2022,497008,282.025,545551.860891765,FALSE
"291","Housing","Housing Preservation and Development","Housing Preservation and Development",2022,1167016,282.025,1281001.01103094,TRUE
"292","Housing","Department of Buildings","Department of Buildings",2022,193683,282.025,212600.443198298,FALSE
"293","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2022,1183,282.025,1298.54620335077,TRUE
"294","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2022,2571530,282.025,2822696.97236061,TRUE
"295","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2022,2127150,282.025,2334913.40359897,FALSE
"296","Libraries","New York Research Libraries","New York Research Libraries",2022,30653,282.025,33646.9457069409,FALSE
"297","Libraries","New York Public Library","New York Public Library",2022,155003,282.025,170142.482804716,FALSE
"298","Libraries","Brooklyn Public Library","Brooklyn Public Library",2022,117408,282.025,128875.496739651,FALSE
"299","Libraries","Queens Borough Public Library","Queens Borough Public Library",2022,121378,282.025,133233.255342611,FALSE
"300","Pensions","Pension Contributions","Pension Contributions",2022,9599122,282.025,10536689.2887581,FALSE
"301","Judgments and Claims","Judgments and Claims","Judgments and Claims",2022,1241765,282.025,1363050.90972432,FALSE
"302","Benefit Payments","Benefit Payments","Benefit Payments",2022,8556605,282.025,9392347.36798156,FALSE
"303","Lease Payments","Lease Payments","Lease Payments",2022,139906,282.025,153570.925719351,FALSE
"304","Other","Miscellaneous","Miscellaneous",2022,1608436,282.025,1765535.47010371,FALSE
"305","Transfers","General Debt Service Fund","Debt Service",2022,4014600,282.025,4406714.78273203,FALSE
"306","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2022,NA,282.025,NA,FALSE
"307","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2022,837724,282.025,919546.339523092,FALSE
"308","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2022,2139340,282.025,2348294.02762167,FALSE
"309","General Government","Mayoralty","Mayoralty",2021,130139,263.1505,153095.891396748,FALSE
"310","General Government","Board of Elections","Board of Elections",2021,230846,263.1505,271567.893908619,FALSE
"311","General Government","Campaign Finance Board","Campaign Finance Board",2021,141343,263.1505,166276.309005683,FALSE
"312","General Government","Office of the Actuary","Office of the Actuary",2021,6082,263.1505,7154.88217578914,FALSE
"313","General Government","Borough President-Manhattan","Borough President-Manhattan",2021,5235,263.1505,6158.46895597766,FALSE
"314","General Government","Borough President-Bronx","Borough President-Bronx",2021,4882,263.1505,5743.1987474848,FALSE
"315","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2021,6669,263.1505,7845.43065280134,FALSE
"316","General Government","Borough President-Queens","Borough President-Queens",2021,5917,263.1505,6960.77570439729,FALSE
"317","General Government","Borough President-Staten Island","Borough President-Staten Island",2021,4542,263.1505,5343.22177613191,FALSE
"318","General Government","Office of the Comptroller","Office of the Comptroller",2021,83346,263.1505,98048.4725128776,FALSE
"319","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2021,5665,263.1505,6664.32218445338,FALSE
"320","General Government","Law Department","Law Department",2021,247515,263.1505,291177.353130623,FALSE
"321","General Government","Department of City Planning","Department of City Planning",2021,38298,263.1505,45053.8766143329,FALSE
"322","General Government","Department of Investigation","Department of Investigation",2021,46187,263.1505,54334.5187525769,FALSE
"323","General Government","Department of Veterans Service","Department of Veterans Service",2021,5377,263.1505,6325.51816166034,FALSE
"324","General Government","Public Advocate","Public Advocate",2021,4615,263.1505,5429.09918468709,FALSE
"325","General Government","City Council","City Council",2021,75091,263.1505,88337.2669290007,FALSE
"326","General Government","City Clerk","City Clerk",2021,5205,263.1505,6123.17687027005,FALSE
"327","General Government","Financial Information Services Agency","Financial Information Services Agency",2021,112032,263.1505,131794.764866493,FALSE
"328","General Government","Office of Payroll Administration","Office of Payroll Administration",2021,14584,263.1505,17156.6592653254,FALSE
"329","General Government","Independent Budget Office","Independent Budget Office",2021,4707,263.1505,5537.32824752376,FALSE
"330","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2021,1113,263.1505,1309.33637975227,FALSE
"331","General Government","Civil Service Commission","Civil Service Commission",2021,1007,263.1505,1184.63767691872,FALSE
"332","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2021,6443,263.1505,7579.56360713736,FALSE
"333","General Government","Districting Commission","Districting Commission",2021,NA,263.1505,NA,FALSE
"334","General Government","Commission on Human Rights","Commission on Human Rights",2021,11835,263.1505,13922.7278116515,TRUE
"335","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2021,695873,263.1505,818626.985253686,TRUE
"336","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2021,2436,263.1505,2865.7173594578,FALSE
"337","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2021,2255,263.1505,2652.78844235523,FALSE
"338","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2021,296,263.1505,348.215245648403,FALSE
"339","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2021,313,263.1505,368.214094216047,FALSE
"340","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2021,389,263.1505,457.620711341989,FALSE
"341","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2021,347,263.1505,408.211791351337,FALSE
"342","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2021,333,263.1505,391.742151354453,FALSE
"343","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2021,389,263.1505,457.620711341989,FALSE
