"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"184","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2022,275000,282.025,301859.852849925,FALSE
"185","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2022,320000,282.025,351255.101498094,FALSE
"186","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2022,394000,282.025,432482.843719529,FALSE
"187","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2022,372000,282.025,408334.055491535,FALSE
"188","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2022,326000,282.025,357841.134651183,FALSE
"189","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2022,391000,282.025,429189.827142984,FALSE
"190","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2022,349000,282.025,383087.595071359,FALSE
"191","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2022,396000,282.025,434678.188103892,FALSE
"192","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2022,351000,282.025,385282.939455722,FALSE
"193","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2022,325000,282.025,356743.462459002,FALSE
"194","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2022,307000,282.025,336985.362999734,FALSE
"195","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2022,401000,282.025,440166.549064799,FALSE
"196","General Government","Bronx Community Board #1","Bronx Community Board #1",2022,290000,282.025,318324.935732648,FALSE
"197","General Government","Bronx Community Board #2","Bronx Community Board #2",2022,293000,282.025,321617.952309193,FALSE
"198","General Government","Bronx Community Board #3","Bronx Community Board #3",2022,290000,282.025,318324.935732648,FALSE
"199","General Government","Bronx Community Board #4","Bronx Community Board #4",2022,256000,282.025,281004.081198475,FALSE
"200","General Government","Bronx Community Board #5","Bronx Community Board #5",2022,183000,282.025,200874.011169223,FALSE
"201","General Government","Bronx Community Board #6","Bronx Community Board #6",2022,177000,282.025,194287.978016133,FALSE
"202","General Government","Bronx Community Board #7","Bronx Community Board #7",2022,312000,282.025,342473.723960642,FALSE
"203","General Government","Bronx Community Board #8","Bronx Community Board #8",2022,285000,282.025,312836.57477174,FALSE
"204","General Government","Bronx Community Board #9","Bronx Community Board #9",2022,304000,282.025,333692.34642319,FALSE
"205","General Government","Bronx Community Board #10","Bronx Community Board #10",2022,304000,282.025,333692.34642319,FALSE
"206","General Government","Bronx Community Board #11","Bronx Community Board #11",2022,301000,282.025,330399.329846645,FALSE
"207","General Government","Bronx Community Board #12","Bronx Community Board #12",2022,271000,282.025,297469.164081199,FALSE
"208","General Government","Queens Community Board #1","Queens Community Board #1",2022,289000,282.025,317227.263540466,FALSE
"209","General Government","Queens Community Board #2","Queens Community Board #2",2022,310000,282.025,340278.379576279,FALSE
"210","General Government","Queens Community Board #3","Queens Community Board #3",2022,317000,282.025,347962.08492155,FALSE
"211","General Government","Queens Community Board #4","Queens Community Board #4",2022,299000,282.025,328203.985462282,FALSE
"212","General Government","Queens Community Board #5","Queens Community Board #5",2022,282000,282.025,309543.558195196,FALSE
"213","General Government","Queens Community Board #6","Queens Community Board #6",2022,317000,282.025,347962.08492155,FALSE
"214","General Government","Queens Community Board #7","Queens Community Board #7",2022,349000,282.025,383087.595071359,FALSE
"215","General Government","Queens Community Board #8","Queens Community Board #8",2022,335000,282.025,367720.184380817,FALSE
"216","General Government","Queens Community Board #9","Queens Community Board #9",2022,190000,282.025,208557.716514493,FALSE
"217","General Government","Queens Community Board #10","Queens Community Board #10",2022,299000,282.025,328203.985462282,FALSE
"218","General Government","Queens Community Board #11","Queens Community Board #11",2022,338000,282.025,371013.200957362,FALSE
"219","General Government","Queens Community Board #12","Queens Community Board #12",2022,306000,282.025,335887.690807553,FALSE
"220","General Government","Queens Community Board #13","Queens Community Board #13",2022,287000,282.025,315031.919156103,FALSE
"221","General Government","Queens Community Board #14","Queens Community Board #14",2022,268000,282.025,294176.147504654,FALSE
"222","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2022,368000,282.025,403943.366722808,FALSE
"223","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2022,199000,282.025,218436.766244127,FALSE
"224","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2022,254000,282.025,278808.736814112,FALSE
"225","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2022,274000,282.025,300762.180657743,FALSE
"226","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2022,246000,282.025,270027.35927666,FALSE
"227","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2022,241000,282.025,264538.998315752,FALSE
"228","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2022,260000,282.025,285394.769967202,FALSE
"229","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2022,301000,282.025,330399.329846645,FALSE
"230","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2022,351000,282.025,385282.939455722,FALSE
"231","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2022,347000,282.025,380892.250686996,FALSE
"232","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2022,289000,282.025,317227.263540466,FALSE
"233","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2022,345000,282.025,378696.906302633,FALSE
"234","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2022,302000,282.025,331497.002038826,FALSE
"235","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2022,358000,282.025,392966.644800993,FALSE
"236","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2022,173000,282.025,189897.289247407,FALSE
"237","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2022,228000,282.025,250269.259817392,FALSE
"238","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2022,322000,282.025,353450.445882457,FALSE
"239","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2022,222000,282.025,243683.226664303,FALSE
"240","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2022,261000,282.025,286492.442159383,FALSE
"241","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2022,196000,282.025,215143.749667583,FALSE
"242","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2022,329000,282.025,361134.151227728,FALSE
"243","General Government","Department of Small Business Services","Department of Small Business Services",2022,491713000,282.025,539739686.634164,TRUE
"244","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2022,44650000,282.025,49011063.380906,FALSE
"245","General Government","Business Integrity Commission","Business Integrity Commission",2022,8739000,282.025,9592557.28747451,FALSE
"246","General Government","Department of Finance","Department of Finance",2022,295955000,282.025,324861573.637089,FALSE
"247","General Government","Department of Design and Construction","Department of Design and Construction",2022,44326000,282.025,48655417.5906391,FALSE
"248","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2022,626184000,282.025,687344763.989008,FALSE
"249","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2022,695614000,282.025,763556144.292173,FALSE
"250","General Government","Department of Records and Information Services","Department of Records and Information Services",2022,12438000,282.025,13652846.726354,FALSE
"251","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2022,55751000,282.025,61196322.3863133,FALSE
"252","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2022,NA,282.025,NA,FALSE
"253","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2022,674205000,282.025,740056080.329758,FALSE
