"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1270","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2015,249000,236.6765,325690.04104759,FALSE
"1271","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2015,293000,236.6765,383241.694887325,FALSE
"1272","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2015,251000,236.6765,328306.025313033,FALSE
"1273","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2015,204000,236.6765,266830.395075134,FALSE
"1274","General Government","Bronx Community Board #1","Bronx Community Board #1",2015,276000,236.6765,361005.828631064,FALSE
"1275","General Government","Bronx Community Board #2","Bronx Community Board #2",2015,252000,236.6765,329614.017445754,FALSE
"1276","General Government","Bronx Community Board #3","Bronx Community Board #3",2015,265000,236.6765,346617.91517113,FALSE
"1277","General Government","Bronx Community Board #4","Bronx Community Board #4",2015,211000,236.6765,275986.340004183,FALSE
"1278","General Government","Bronx Community Board #5","Bronx Community Board #5",2015,247000,236.6765,323074.056782148,FALSE
"1279","General Government","Bronx Community Board #6","Bronx Community Board #6",2015,207000,236.6765,270754.371473298,FALSE
"1280","General Government","Bronx Community Board #7","Bronx Community Board #7",2015,256000,236.6765,334845.985976639,FALSE
"1281","General Government","Bronx Community Board #8","Bronx Community Board #8",2015,243000,236.6765,317842.088251263,FALSE
"1282","General Government","Bronx Community Board #9","Bronx Community Board #9",2015,259000,236.6765,338769.962374803,FALSE
"1283","General Government","Bronx Community Board #10","Bronx Community Board #10",2015,279000,236.6765,364929.805029228,FALSE
"1284","General Government","Bronx Community Board #11","Bronx Community Board #11",2015,263000,236.6765,344001.930905688,FALSE
"1285","General Government","Bronx Community Board #12","Bronx Community Board #12",2015,209000,236.6765,273370.35573874,FALSE
"1286","General Government","Queens Community Board #1","Queens Community Board #1",2015,202000,236.6765,264214.410809692,FALSE
"1287","General Government","Queens Community Board #2","Queens Community Board #2",2015,284000,236.6765,371469.765692834,FALSE
"1288","General Government","Queens Community Board #3","Queens Community Board #3",2015,267000,236.6765,349233.899436573,FALSE
"1289","General Government","Queens Community Board #4","Queens Community Board #4",2015,247000,236.6765,323074.056782148,FALSE
"1290","General Government","Queens Community Board #5","Queens Community Board #5",2015,252000,236.6765,329614.017445754,FALSE
"1291","General Government","Queens Community Board #6","Queens Community Board #6",2015,264000,236.6765,345309.923038409,FALSE
"1292","General Government","Queens Community Board #7","Queens Community Board #7",2015,288000,236.6765,376701.734223719,FALSE
"1293","General Government","Queens Community Board #8","Queens Community Board #8",2015,275000,236.6765,359697.836498343,FALSE
"1294","General Government","Queens Community Board #9","Queens Community Board #9",2015,180000,236.6765,235438.583889824,FALSE
"1295","General Government","Queens Community Board #10","Queens Community Board #10",2015,240000,236.6765,313918.111853099,FALSE
"1296","General Government","Queens Community Board #11","Queens Community Board #11",2015,277000,236.6765,362313.820763785,FALSE
"1297","General Government","Queens Community Board #12","Queens Community Board #12",2015,252000,236.6765,329614.017445754,FALSE
"1298","General Government","Queens Community Board #13","Queens Community Board #13",2015,228000,236.6765,298222.206260444,FALSE
"1299","General Government","Queens Community Board #14","Queens Community Board #14",2015,235000,236.6765,307378.151189493,FALSE
"1300","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2015,279000,236.6765,364929.805029228,FALSE
"1301","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2015,249000,236.6765,325690.04104759,FALSE
"1302","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2015,252000,236.6765,329614.017445754,FALSE
"1303","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2015,210000,236.6765,274678.347871462,FALSE
"1304","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2015,205000,236.6765,268138.387207855,FALSE
"1305","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2015,233000,236.6765,304762.16692405,FALSE
"1306","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2015,217000,236.6765,283834.29280051,FALSE
"1307","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2015,257000,236.6765,336153.97810936,FALSE
"1308","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2015,231000,236.6765,302146.182658608,FALSE
"1309","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2015,306000,236.6765,400245.592612701,FALSE
"1310","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2015,254000,236.6765,332230.001711196,FALSE
"1311","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2015,290000,236.6765,379317.718489161,FALSE
"1312","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2015,248000,236.6765,324382.048914869,FALSE
"1313","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2015,279000,236.6765,364929.805029228,FALSE
"1314","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2015,150000,236.6765,196198.819908187,FALSE
"1315","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2015,193000,236.6765,252442.481615201,FALSE
"1316","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2015,307000,236.6765,401553.584745423,FALSE
"1317","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2015,213000,236.6765,278602.324269625,FALSE
"1318","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2015,255000,236.6765,333537.993843918,FALSE
"1319","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2015,224000,236.6765,292990.237729559,FALSE
"1320","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2015,308000,236.6765,402861.576878144,FALSE
"1321","General Government","Department of Small Business Services","Department of Small Business Services",2015,231811000,236.6765,303206964.278245,TRUE
"1322","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2015,34362000,236.6765,44945225.6645675,FALSE
"1323","General Government","Business Integrity Commission","Business Integrity Commission",2015,8065000,236.6765,10548956.5503969,FALSE
"1324","General Government","Department of Finance","Department of Finance",2015,235023000,236.6765,307408235.008545,FALSE
"1325","General Government","Department of Design and Construction","Department of Design and Construction",2015,48367000,236.6765,63263655.4833285,FALSE
"1326","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2015,390745000,236.6765,511091385.900163,FALSE
"1327","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2015,321260000,236.6765,420205552.558028,FALSE
"1328","General Government","Department of Records and Information Services","Department of Records and Information Services",2015,6023000,236.6765,7878036.61538007,FALSE
"1329","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2015,34191000,236.6765,44721559.0098721,FALSE
"1330","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2015,3740000,236.6765,4891890.57637746,FALSE
"1331","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2015,34343000,236.6765,44920373.8140458,FALSE
"1332","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2015,12683000,236.6765,16589264.2193036,FALSE
"1333","Public Safety and Judicial","Police Department","Police Department",2015,4896334000,236.6765,6404366351.17555,FALSE
"1334","Public Safety and Judicial","Fire Department","Fire Department",2015,1886892000,236.6765,2468039891.29466,FALSE
"1335","Public Safety and Judicial","Department of Correction","Department of Correction",2015,1153693000,236.6765,1509021367.57557,FALSE
"1336","Public Safety and Judicial","Board of Correction","Board of Correction",2015,1522000,236.6765,1990764.02600174,FALSE
"1337","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2015,NA,236.6765,NA,FALSE
"1338","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2015,52401000,236.6765,68540095.746726,FALSE
"1339","Public Safety and Judicial","Department of Probation","Department of Probation",2015,78473000,236.6765,102642066.631034,FALSE
"1340","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2015,106404000,236.6765,139175594.890071,FALSE
"1341","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2015,60026000,236.6765,78513535.7587255,FALSE
"1342","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2015,93221000,236.6765,121932334.604407,FALSE
"1343","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2015,56769000,236.6765,74253405.3824524,FALSE
"1344","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2015,10302000,236.6765,13474934.9512943,FALSE
"1345","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2015,19205000,236.6765,25119988.9089115,FALSE
"1346","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2015,1504000,236.6765,1967220.16761275,FALSE
"1347","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2015,603000,236.6765,788719.256030911,FALSE
"1348","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2015,641000,236.6765,838422.957074319,FALSE
"1349","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2015,484000,236.6765,633068.192237083,FALSE
"1350","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2015,477000,236.6765,623912.247308034,FALSE
